model_id,asteroid_id,lambda,beta,period,number,name,designation,reference_id,bibcode,a,b,c,R,R2
4380,153,16.0,60.0,14.08574,208.0,Lacrimosa,,182,,1.266148,1.020608,0.769484,0.680842,0.6808414437474851
102,101,32.0,-11.0,7.81322,2.0,Pallas,,169,2017a&a...601a.114h,0.051142,0.047307,0.045942,0.934741,0.9347341187298589
102,101,32.0,-11.0,7.81322,2.0,Pallas,,132,2010icar..205..460c,0.051142,0.047307,0.045942,0.934741,0.9347341187298589
1816,103,124.0,39.0,16.80059,5.0,Astraea,,169,2017a&a...601a.114h,0.119818,0.099829,0.094583,0.868415,0.8684195231235788
1807,106,342.0,-6.0,12.86667,8.0,Flora,,169,2017a&a...601a.114h,0.096628,0.092129,0.087096,0.923365,0.9233618619086653
716,107,182.0,19.0,5.079176,9.0,Metis,,169,2017a&a...601a.114h,0.106293,0.085501,0.068664,0.724539,0.7245331515999571
716,107,182.0,19.0,5.079176,9.0,Metis,,149,2013icar..226.1045h,0.106293,0.085501,0.068664,0.724539,0.7245331515999571
1806,109,36.0,-10.0,4.195948,16.0,Psyche,,169,2017a&a...601a.114h,0.092315,0.078249,0.054629,0.644948,0.6449552128403908
1806,109,36.0,-10.0,4.195948,16.0,Psyche,,176,2018a&a...619l...3v,0.092315,0.078249,0.054629,0.644948,0.6449552128403908
1803,111,97.0,69.0,7.443222,19.0,Fortuna,,169,2017a&a...601a.114h,0.086656,0.07596,0.067437,0.833012,0.8330056098045461
1827,114,196.0,2.0,4.1482,22.0,Kalliope,,169,2017a&a...601a.114h,0.117093,0.087485,0.066696,0.665985,0.665984608184302
1792,116,324.0,-26.0,5.390119,29.0,Amphitrite,,169,2017a&a...601a.114h,0.085305,0.08059,0.065246,0.787232,0.7872298438428117
1835,120,323.0,33.0,5.138238,39.0,Laetitia,,169,2017a&a...601a.114h,0.119314,0.082875,0.064224,0.656613,0.6566136886455808
1793,121,200.0,-32.0,5.987981,41.0,Daphne,,169,2017a&a...601a.114h,0.101015,0.078346,0.067119,0.760566,0.7605728210361156
1793,121,200.0,-32.0,5.987981,41.0,Daphne,,178,2019a&a...623a.132c,0.101015,0.078346,0.067119,0.760566,0.7605728210361156
1825,122,251.0,-10.0,5.761987,43.0,Ariadne,,169,2017a&a...601a.114h,0.213731,0.135047,0.104085,0.628857,0.6288611638376802
1812,124,127.0,-35.0,5.699152,45.0,Eugenia,,169,2017a&a...601a.114h,0.104551,0.081223,0.060067,0.657026,0.6570276721545938
463,125,259.0,39.0,5.629959,52.0,Europa,,169,2017a&a...601a.114h,0.07259,0.066318,0.049847,0.71916,0.7191642192233366
463,125,259.0,39.0,5.629959,52.0,Europa,,147,2013icar..225..794m,0.07259,0.066318,0.049847,0.71916,0.7191642192233366
1817,126,154.0,17.0,7.02264,54.0,Alexandra,,169,2017a&a...601a.114h,0.109525,0.088537,0.081054,0.82777,0.8277659399395016
1832,130,196.0,-21.0,14.03086,80.0,Sappho,,169,2017a&a...601a.114h,0.205455,0.14477,0.09598,0.565073,0.5650704603265945
719,132,72.0,68.0,5.183641,87.0,Sylvia,,169,2017a&a...601a.114h,0.088303,0.063066,0.051466,0.699454,0.6994499071181882
719,132,72.0,68.0,5.183641,87.0,Sylvia,,151,2014icar..239..118b,0.088303,0.063066,0.051466,0.699454,0.6994499071181882
1821,133,81.0,67.0,6.041321,88.0,Thisbe,,169,2017a&a...601a.114h,0.080747,0.076914,0.066698,0.84659,0.8465942193558247
1813,134,76.0,55.0,4.843928,107.0,Camilla,,169,2017a&a...601a.114h,0.093514,0.065376,0.051392,0.667828,0.6678318226274624
1799,142,276.0,53.0,8.4006,135.0,Hertha,,169,2017a&a...601a.114h,0.173196,0.149735,0.075207,0.468247,0.4682489608289733
1811,166,355.0,55.0,6.189593,360.0,Carlova,,169,2017a&a...601a.114h,0.121848,0.09668,0.071496,0.663134,0.6631378141942998
715,170,4.0,29.0,9.02145,409.0,Aspasia,,169,2017a&a...601a.114h,0.094987,0.092926,0.073356,0.780838,0.7808382103960493
715,170,4.0,29.0,9.02145,409.0,Aspasia,,149,2013icar..226.1045h,0.094987,0.092926,0.073356,0.780838,0.7808382103960493
1814,176,103.0,11.0,9.404937,532.0,Herculina,,169,2017a&a...601a.114h,0.096482,0.081008,0.066249,0.752235,0.7522271657591534
1802,195,223.0,-41.0,4.116391,849.0,Ara,,169,2017a&a...601a.114h,0.173044,0.128439,0.098964,0.67121,0.6712072086383692
1822,219,92.0,-68.0,6.874784,85.0,Io,,169,2017a&a...601a.114h,0.098197,0.089983,0.069686,0.742042,0.7420451261001649
1805,220,14.0,-24.0,11.388336,89.0,Julia,,169,2017a&a...601a.114h,0.111132,0.096296,0.077189,0.748072,0.7480754820428227
1805,220,14.0,-24.0,11.388336,89.0,Julia,,177,2018a&a...618a.154v,0.111132,0.096296,0.077189,0.748072,0.7480754820428227
1809,222,180.0,31.0,7.22439,165.0,Loreley,,169,2017a&a...601a.114h,0.089544,0.083888,0.07562,0.872968,0.8729705213431483
1798,225,224.0,58.0,7.11539,471.0,Papagena,,169,2017a&a...601a.114h,0.113761,0.111347,0.070366,0.62525,0.625247373921735
1830,227,55.0,11.0,7.226189,94.0,Aurora,,169,2017a&a...601a.114h,0.091046,0.082596,0.063446,0.732506,0.7325025563416842
1831,227,244.0,0.0,7.226189,94.0,Aurora,,169,2017a&a...601a.114h,0.08954,0.080199,0.064507,0.762379,0.7623816686999576
1828,230,54.0,34.0,7.046671,13.0,Egeria,,169,2017a&a...601a.114h,0.096761,0.083829,0.057784,0.643241,0.6432453726438522
1815,305,287.0,25.0,9.76503,386.0,Siegena,,169,2017a&a...601a.114h,0.09182,0.084264,0.080672,0.91798,0.9179803057687425
